Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
681,Cambodia,H014901,2005-05-26,2005,5,26,30.0,7.8,19.5,17.9,1.026,0.398,0.417,0.042,1.428,0.204,0.299,0.029,0.016,0.022,5.936,2.613
90,Cambodia,H014901,1996-03-15,1996,3,15,29.8,7.05,9.0,19.7,1.093,0.423,0.39,0.03,1.505,0.216,0.245,0.274,0.1,0.02,6.6,3.2
1724,Cambodia,H014901,2015-04-22,2015,4,22,25.0,6.911,9.5,4.802,0.166,0.134,0.139,0.048,0.329,0.033,0.124,0.127,0.118,0.09,7.846,0.496
436,Cambodia,H014901,2002-03-18,2002,3,18,29.5,7.3,3.33,19.5,0.415,0.562,0.364,0.034,0.874,0.008,0.453,0.033,0.014,0.021,8.1,1.38
1534,Cambodia,H014901,2013-10-26,2013,10,26,29.0,7.02,90.0,13.78,0.497,0.613,0.232,0.031,1.1,0.185,0.211,0.219,0.031,0.117,7.756,1.273
587,Cambodia,H014901,2004-06-17,2004,6,17,31.0,6.3,83.33,12.9,0.657,0.228,0.279,0.04,0.828,0.17,0.154,0.224,0.01,0.082,6.492,1.76
248,Cambodia,H014901,1998-06-28,1998,6,28,31.0,7.6,64.0,14.5,0.773,0.272,0.34,0.04,0.946,0.186,0.33,0.33,0.006,0.04,6.93,4.9
1536,Cambodia,H014901,2013-12-21,2013,12,21,25.1,7.38,56.0,18.0,1.041,0.455,0.241,0.035,1.496,0.152,0.224,0.148,0.028,0.164,8.323,0.788
1390,Cambodia,H014901,2012-01-24,2012,1,24,28.0,7.3,9.5,18.65,1.168,0.34,0.255,0.025,1.437,0.234,0.285,0.057,0.025,0.038,8.103,1.132
1088,Cambodia,H014901,2008-12-22,2008,12,22,27.3,7.4,46.5,14.9,0.765,0.46,0.303,0.003,1.212,0.116,0.262,0.229,0.019,0.026,7.8,2.23
1790,Cambodia,H014901,2016-03-26,2016,3,26,30.8,8.1,15.0,21.9,1.239,0.611,0.389,0.05,1.625,0.121,0.35,0.039,0.057,0.088,7.599,0.115
94,Cambodia,H014901,1996-10-16,1996,10,16,29.5,6.87,6.0,8.6,0.436,0.221,0.2,0.03,0.698,0.089,0.053,0.016,0.02,0.006,6.92,1.8
1391,Cambodia,H014901,2012-02-23,2012,2,23,30.0,7.35,9.0,20.3,1.023,0.409,0.507,0.031,1.368,0.196,0.35,0.052,0.03,0.019,7.259,0.921
1722,Cambodia,H014901,2015-02-24,2015,2,24,29.9,6.7,12.5,6.5,0.224,0.139,0.227,0.026,0.252,0.028,0.37,0.086,0.019,0.011,6.843,3.89
1531,Cambodia,H014901,2013-04-24,2013,4,24,30.7,6.92,6.0,20.0,0.986,0.506,0.392,0.033,1.503,0.16,0.306,0.033,0.021,0.026,9.28,0.746
582,Cambodia,H014901,2004-01-18,2004,1,18,28.0,7.17,8.8,16.66,0.912,0.475,0.364,0.031,1.326,0.01,0.405,0.06,0.012,0.035,7.107,2.36
679,Cambodia,H014901,2005-03-28,2005,3,28,26.4,7.26,10.0,20.1,1.205,0.466,0.266,0.033,1.42,0.182,0.271,0.004,0.112,0.015,7.48,8.404
162,Cambodia,H014901,1997-01-16,1997,1,16,26.0,7.56,6.0,16.0,0.886,0.383,0.32,0.03,1.242,0.169,0.177,0.16,0.1,0.01,7.82,1.4
584,Cambodia,H014901,2004-03-17,2004,3,17,31.6,7.64,10.0,19.1,1.102,0.456,0.446,0.04,1.385,0.15,0.331,0.07,0.015,0.036,7.918,0.16
292,Cambodia,H014901,2000-01-09,2000,1,9,27.8,7.42,51.0,17.4,0.909,0.391,0.38,0.02,1.244,0.234,0.191,0.227,0.07,0.02,7.83,0.392
513,Cambodia,H014901,2003-12-19,2003,12,19,27.0,6.42,27.5,17.2,0.995,0.398,0.324,0.032,1.319,0.091,0.32,0.028,0.002,0.046,7.496,1.68
95,Cambodia,H014901,1996-12-15,1996,12,15,26.4,6.75,112.0,13.5,0.612,0.29,0.36,0.04,0.921,0.275,0.123,0.164,0.02,0.02,7.72,1.6
510,Cambodia,H014901,2003-08-06,2003,8,6,29.0,6.56,95.0,7.82,0.412,0.164,0.182,0.029,0.646,0.027,0.076,0.124,0.007,0.043,9.861,2.68
274,Cambodia,H014901,1999-10-18,1999,10,18,29.1,6.66,111.0,9.66,0.491,0.23,0.26,0.03,0.728,0.094,0.01,0.23,0.02,0.02,7.29,2.523
511,Cambodia,H014901,2003-10-15,2003,10,15,29.0,7.02,98.0,8.8,0.537,0.195,0.199,0.028,0.764,0.046,0.132,0.126,0.011,0.069,8.209,2.2
683,Cambodia,H014901,2005-07-14,2005,7,14,26.7,7.05,95.0,9.4,0.602,0.187,0.181,0.028,0.716,0.106,0.14,0.354,0.017,0.07,6.182,4.048
1665,Cambodia,H014901,2014-03-24,2014,3,24,30.0,7.81,7.5,21.0,1.253,0.542,0.233,0.038,1.679,0.217,0.363,0.026,0.033,0.004,7.527,0.872
818,Cambodia,H014901,2006-01-18,2006,1,18,24.5,8.2,23.0,15.84,0.736,0.412,0.392,0.034,1.288,0.16,0.234,0.02,0.013,0.053,9.351,4.863
1837,Cambodia,H014901,2017-04-21,2017,4,21,31.0,7.882,9.167,19.221,0.908,0.497,0.455,0.067,1.446,0.184,0.325,0.072,0.049,0.047,6.085,0.853
821,Cambodia,H014901,2006-04-23,2006,4,23,29.5,7.25,2.0,19.7,0.984,0.46,0.26,0.043,1.336,0.248,0.276,0.022,0.031,0.031,8.09,2.372
296,Cambodia,H014901,2000-12-18,2000,12,18,27.2,7.68,51.5,16.05,0.859,0.338,0.33,0.03,1.204,0.025,0.373,0.15,0.05,0.02,7.893,3.29
