Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
4095,Viet Nam,H019804,2009-03-15,2009,3,15,28.0,6.5,36.5,16.3,0.9,0.35,0.41,0.034,1.15,0.297,0.172,0.243,0.0,0.074,2.89,5.74
4104,Viet Nam,H019804,2009-04-15,2009,4,15,27.9,6.4,48.5,17.7,0.82,0.5,0.412,0.034,1.232,0.292,0.193,0.017,0.0,0.18,3.9,4.85
4118,Viet Nam,H019804,2010-03-15,2010,3,15,27.3,7.29,48.0,15.55,0.76,0.44,0.41,0.034,1.208,0.247,0.147,0.345,0.009,0.077,6.795,3.78
4119,Viet Nam,H019804,2010-04-15,2010,4,15,26.7,7.53,36.5,19.79,0.98,0.48,0.412,0.034,1.317,0.292,0.288,0.23,0.026,0.084,5.255,4.52
4138,Viet Nam,H019804,2011-03-15,2011,3,15,27.1,7.3,65.0,18.88,1.167,0.276,0.41,0.038,1.145,0.456,0.313,0.354,0.0,0.203,6.17,2.16
4139,Viet Nam,H019804,2011-04-15,2011,4,15,27.7,7.34,55.0,18.6,1.152,0.285,0.406,0.04,1.107,0.359,0.273,0.282,0.042,0.111,6.33,2.88
4161,Viet Nam,H019804,2012-03-15,2012,3,15,27.93,7.13,58.0,15.3,0.6,0.522,0.334,0.063,1.029,0.339,0.129,0.077,0.136,0.057,6.98,2.99
4162,Viet Nam,H019804,2012-04-15,2012,4,15,28.13,7.15,86.0,15.8,0.82,0.392,0.289,0.021,1.133,0.311,0.154,0.085,0.034,0.108,6.66,2.47
4163,Viet Nam,H019804,2012-09-15,2012,9,15,27.8,7.38,81.0,11.49,0.76,0.145,0.19,0.065,0.894,0.29,0.063,0.05,0.005,0.188,5.5,3.24
4164,Viet Nam,H019804,2012-10-15,2012,10,15,27.72,7.45,87.0,10.56,0.552,0.249,0.219,0.065,0.728,0.309,0.051,0.244,0.01,0.136,5.49,2.76
4187,Viet Nam,H019804,2013-03-15,2013,3,15,29.0,6.84,76.0,19.8,1.09,0.476,0.367,0.095,1.417,0.335,0.304,0.053,0.004,0.089,6.22,5.33
4188,Viet Nam,H019804,2013-04-15,2013,4,15,28.4,6.65,47.0,20.7,1.201,0.435,0.39,0.103,1.458,0.385,0.296,0.235,0.096,0.158,5.6,2.76
4189,Viet Nam,H019804,2013-10-15,2013,10,15,28.5,6.53,86.0,9.23,0.549,0.12,0.199,0.043,0.729,0.205,0.031,0.31,0.104,0.244,5.93,4.08
4208,Viet Nam,H019804,2014-03-15,2014,3,15,28.9,7.0,17.0,17.72,0.647,0.589,0.36,0.05,1.29,0.226,0.248,0.287,0.004,0.049,5.84,3.76
4209,Viet Nam,H019804,2014-04-15,2014,4,15,30.7,6.98,25.0,22.3,1.32,0.481,0.419,0.062,1.396,0.223,0.463,0.272,0.031,0.056,6.13,2.24
4228,Viet Nam,H019804,2015-09-15,2015,9,15,27.6,6.96,45.0,11.1,0.849,0.043,0.204,0.03,1.009,0.167,0.02,0.271,0.012,0.19,5.2,1.48
4251,Viet Nam,H019804,2016-03-15,2016,3,15,26.8,7.523,14.5,21.4,1.206,0.395,0.348,0.041,1.127,0.339,0.353,0.511,0.094,0.116,5.82,4.0
4252,Viet Nam,H019804,2016-04-15,2016,4,15,26.8,7.9,10.0,21.9,1.466,0.571,0.369,0.098,1.049,0.495,0.504,0.208,0.064,0.05,6.01,1.58
4253,Viet Nam,H019804,2016-09-15,2016,9,15,26.5,7.793,49.167,11.78,0.75,0.169,0.183,0.034,0.891,0.154,0.125,0.523,0.032,0.172,6.95,1.22
4259,Viet Nam,H019804,2017-03-15,2017,3,15,28.56,7.33,46.0,18.92,0.927,0.604,0.363,0.063,1.302,0.324,0.339,0.221,0.06,0.029,5.15,2.93
4260,Viet Nam,H019804,2017-08-15,2017,8,15,28.87,6.44,60.0,10.16,0.47,0.253,0.214,0.057,0.64,0.134,0.124,0.361,0.039,0.054,5.8,3.23
4261,Viet Nam,H019804,2017-09-15,2017,9,15,27.51,6.46,61.0,11.63,0.598,0.24,0.301,0.068,0.837,0.196,0.061,0.258,0.085,0.175,6.02,4.81
4280,Viet Nam,H019804,2018-09-15,2018,9,15,29.0,7.31,39.0,13.13,0.633,0.406,0.287,0.03,0.825,0.33,0.099,0.432,0.043,0.102,5.24,4.43
4302,Viet Nam,H019804,2019-04-16,2019,4,16,30.8,7.94,18.0,24.0,1.391,0.746,0.318,0.071,1.496,0.357,0.419,0.427,0.011,0.12,4.95,3.47
4315,Viet Nam,H019804,2020-03-15,2020,3,15,29.2,7.62,11.0,27.5,1.24,0.69,0.448,0.084,1.594,0.709,0.223,0.509,0.001,0.108,5.395,4.57
4316,Viet Nam,H019804,2020-04-16,2020,4,16,29.85,7.12,34.0,26.4,1.25,0.73,0.493,0.086,1.434,0.472,0.612,0.259,0.005,0.199,5.22,3.78
4317,Viet Nam,H019804,2020-08-15,2020,8,15,28.7,6.85,49.0,15.43,0.745,0.413,0.284,0.063,1.014,0.243,0.286,0.381,0.016,0.138,5.625,3.26
4318,Viet Nam,H019804,2020-09-15,2020,9,15,29.15,7.07,26.0,14.04,0.683,0.332,0.262,0.058,0.859,0.246,0.167,0.448,0.1,0.15,5.295,3.76
