Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
2905,Lao PDR,H230102,1991-07-15,1991,7,15,27.2,7.28,63.0,11.4,0.61,0.344,0.117,0.03,0.873,0.062,0.241,0.138,0.037,0.03,5.44,1.8
3206,Lao PDR,H230102,1995-07-17,1995,7,17,28.8,7.65,63.0,10.6,0.734,0.214,0.152,0.018,0.827,0.111,0.092,0.181,0.023,0.034,4.9,1.3
3450,Lao PDR,H230102,2000-06-20,2000,6,20,26.6,7.84,39.0,6.5,0.835,0.143,0.106,0.027,0.972,0.081,0.099,0.01,0.047,0.032,6.3,0.091
3693,Lao PDR,H230102,2002-01-17,2002,1,17,24.6,8.05,8.0,11.8,0.761,0.029,0.094,0.01,1.058,0.108,0.07,0.011,0.084,0.004,6.84,0.4
2988,Lao PDR,H230102,1992-12-17,1992,12,17,24.0,7.67,20.0,15.6,1.102,0.181,0.228,0.019,1.289,0.05,0.209,0.076,0.035,0.016,8.9,0.3
3866,Lao PDR,H230102,2003-11-18,2003,11,18,24.6,7.54,39.0,13.6,0.972,0.186,0.081,0.006,1.112,0.061,0.189,0.05,0.046,0.016,7.6,0.8
3703,Lao PDR,H230102,2002-11-26,2002,11,26,26.8,7.14,82.0,9.3,0.957,0.443,0.093,0.021,1.882,0.057,0.057,0.253,0.021,0.036,7.18,0.8
3064,Lao PDR,H230102,1993-03-22,1993,3,22,25.0,7.61,4.0,12.1,0.805,0.292,0.143,0.007,0.948,0.111,0.22,0.052,0.025,0.013,6.84,0.9
2903,Lao PDR,H230102,1991-04-30,1991,4,30,29.6,7.3,6.0,11.6,0.572,0.2,0.21,0.052,0.612,0.043,0.322,0.046,0.028,0.013,7.1,0.3
3210,Lao PDR,H230102,1995-11-20,1995,11,20,25.9,7.83,21.0,15.2,0.975,0.325,0.09,0.014,1.112,0.166,0.19,0.074,0.024,0.026,8.02,1.7
2830,Lao PDR,H230102,1990-08-14,1990,8,14,26.2,7.73,162.0,11.7,0.735,0.245,0.11,0.02,0.965,0.033,0.209,0.009,0.028,0.037,6.52,0.6
3861,Lao PDR,H230102,2003-06-19,2003,6,19,29.0,6.34,36.0,11.4,0.839,0.296,0.07,0.021,1.098,0.095,0.058,0.057,0.031,0.015,5.0,0.6
