,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3926,Thailand,H310102,1987-11-16,1987,11,16,27.8,7.65,43.0,8.5,0.34,0.08,0.28,0.04,0.43,0.28,0.04,0.113,0.03,0.027,7.06,1.6
3907,Thailand,H013801,1987-11-16,1987,11,16,27.4,8.34,172.0,20.2,1.35,0.4,0.3,0.03,1.56,0.14,0.29,0.265,0.032,0.056,7.43,0.2
3890,Thailand,H010501,1987-11-16,1987,11,16,23.0,8.21,304.0,21.3,1.29,0.49,0.33,0.04,1.55,0.13,0.39,0.246,0.006,0.07,7.54,2.5
3897,Thailand,H013101,1987-11-17,1987,11,17,27.2,8.3,311.0,22.0,1.39,0.49,0.33,0.03,1.54,0.16,0.37,0.239,0.023,0.062,7.25,1.9
2715,Lao PDR,H350101,1987-12-11,1987,12,11,22.0,6.83,58.0,9.1,0.45,0.248,0.166,0.023,0.79,0.088,0.065,0.105,0.026,0.031,8.1,1.2
3898,Thailand,H013101,1987-12-15,1987,12,15,23.5,7.82,117.0,22.0,1.36,0.45,0.36,0.03,1.69,0.19,0.39,0.181,0.002,0.053,8.26,0.7
3891,Thailand,H010501,1987-12-15,1987,12,15,19.0,7.68,225.0,23.9,1.53,0.47,0.4,0.04,1.85,0.19,0.44,0.24,0.018,0.046,8.37,0.9
3908,Thailand,H013801,1987-12-15,1987,12,15,21.8,7.93,83.0,19.8,1.32,0.36,0.3,0.03,1.59,0.14,0.27,0.226,0.02,0.051,8.31,0.5
2706,Lao PDR,H100101,1987-12-15,1987,12,15,19.1,7.14,6.0,23.1,1.44,0.572,0.316,0.02,2.173,0.127,0.175,0.029,0.004,0.014,7.88,0.6
3919,Thailand,H050104,1987-12-15,1987,12,15,19.0,8.04,31.0,11.3,0.66,0.23,0.2,0.05,1.04,0.02,0.09,0.15,0.026,0.054,8.46,0.7
2703,Lao PDR,H011901,1987-12-22,1987,12,22,21.2,7.31,258.0,24.1,1.62,0.424,0.365,0.038,1.936,0.163,0.49,0.236,0.004,0.085,8.29,6.6
3934,Thailand,H013101,1988-01-15,1988,1,15,23.2,8.15,49.0,24.2,1.14,0.79,0.42,0.03,1.78,0.26,0.41,0.193,0.034,0.037,8.38,0.6
3927,Thailand,H010501,1988-01-17,1988,1,17,21.0,8.08,132.0,26.4,1.55,0.59,0.45,0.04,1.89,0.249,0.46,0.246,0.033,0.036,8.56,0.8
3951,Thailand,H050104,1988-01-17,1988,1,17,24.0,7.83,19.0,10.9,0.56,0.28,0.22,0.05,1.04,0.02,0.09,0.109,0.045,0.049,7.64,0.6
3942,Thailand,H013801,1988-01-18,1988,1,18,23.6,8.17,10.0,22.6,1.32,0.55,0.37,0.03,1.75,0.21,0.34,0.191,0.031,0.035,7.92,0.5
2725,Lao PDR,H350101,1988-01-19,1988,1,19,24.0,8.61,30.0,15.0,0.48,0.555,0.229,0.025,1.174,0.158,0.063,0.088,0.009,0.014,8.17,0.8
3943,Thailand,H013801,1988-02-15,1988,2,15,26.4,8.26,6.0,23.3,1.43,0.44,0.4,0.03,1.73,0.15,0.37,0.135,0.006,0.05,7.74,0.6
3928,Thailand,H010501,1988-02-16,1988,2,16,20.7,6.84,190.0,28.1,1.61,0.61,0.48,0.04,1.94,0.311,0.54,0.261,0.012,0.059,8.36,0.3
3952,Thailand,H050104,1988-02-16,1988,2,16,19.8,7.76,22.0,11.0,0.57,0.2,0.26,0.05,0.98,0.017,0.06,0.104,0.015,0.079,8.06,0.6
3935,Thailand,H013101,1988-02-16,1988,2,16,26.0,8.2,23.0,25.1,1.42,0.49,0.46,0.03,1.72,0.25,0.37,0.141,0.034,0.061,7.87,0.3
2716,Lao PDR,H011901,1988-02-22,1988,2,22,24.0,8.28,36.0,27.3,1.602,0.672,0.488,0.04,2.089,0.241,0.533,0.084,0.0,0.044,7.84,0.6
2717,Lao PDR,H011901,1988-03-14,1988,3,14,26.4,8.35,48.0,27.3,1.718,0.591,0.482,0.056,2.088,0.188,0.641,0.197,0.006,0.027,5.62,1.1
