,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
5848,Viet Nam,H019804,2009-01-15,2009,1,15,25.9,6.85,48.0,14.4,0.68,0.33,0.374,0.023,1.158,0.275,0.101,0.279,0.025,0.072,6.5,3.03
5847,Viet Nam,H039803,2009-01-15,2009,1,15,27.7,6.8,53.5,14.2,0.71,0.32,0.39,0.035,1.168,0.245,0.112,0.255,0.062,0.149,5.69,3.35
5846,Viet Nam,H988316,2009-01-15,2009,1,15,26.5,6.96,105.0,9.9,0.41,0.24,0.311,0.029,0.717,0.223,0.091,0.379,0.007,0.202,4.9,6.71
5845,Viet Nam,H988115,2009-01-15,2009,1,15,26.6,6.9,48.0,13.9,0.66,0.36,0.374,0.024,1.047,0.298,0.129,0.522,0.013,0.119,5.06,3.72
3534,Lao PDR,H350101,2009-02-14,2009,2,14,24.0,7.96,11.0,13.34,0.768,0.309,0.125,0.027,0.985,0.197,0.106,0.044,0.016,0.036,7.27,1.274
3507,Lao PDR,H013401,2009-02-14,2009,2,14,26.0,7.86,22.0,24.6,1.639,0.314,0.365,0.04,1.85,0.233,0.355,0.134,0.034,0.038,8.42,0.705
5860,Viet Nam,H451303,2009-02-15,2009,2,15,27.2,6.63,19.5,6.9,0.029,0.4009999999999999,0.182,0.021,0.376,0.213,0.045,0.178,0.0,0.054,6.23,2.45
5851,Viet Nam,H019803,2009-02-15,2009,2,15,25.6,6.5,33.0,14.0,0.78,0.34,0.275,0.036,1.053,0.319,0.107,0.061,0.02,0.038,3.14,3.56
5852,Viet Nam,H039801,2009-02-15,2009,2,15,26.4,6.7,120.0,10.8,0.54,0.22,0.231,0.026,0.758,0.196,0.058,0.327,0.014,0.129,3.35,6.18
5853,Viet Nam,H988114,2009-02-15,2009,2,15,27.9,6.75,91.0,15.4,0.79,0.36,0.325,0.034,1.242,0.221,0.132,0.354,0.015,0.185,5.41,3.35
5858,Viet Nam,H019805,2009-02-15,2009,2,15,27.5,6.9,20.0,17.6,0.77,0.37,0.523,0.042,1.297,0.311,0.185,0.049,0.017,0.045,3.34,4.08
5859,Viet Nam,H440202,2009-02-15,2009,2,15,27.9,6.63,22.0,3.8,0.108,0.052,0.201,0.021,0.214,0.108,0.046,0.153,0.04,0.124,5.2,2.1
5854,Viet Nam,H988115,2009-02-15,2009,2,15,27.4,6.9,63.0,14.8,0.75,0.39,0.321,0.036,0.866,0.263,0.325,0.397,0.017,0.102,4.8,4.0
5855,Viet Nam,H988316,2009-02-15,2009,2,15,27.6,6.82,33.5,11.2,0.48,0.29,0.256,0.029,0.854,0.162,0.066,0.211,0.011,0.052,2.68,6.06
5856,Viet Nam,H039803,2009-02-15,2009,2,15,25.1,7.05,23.0,14.9,0.81,0.39,0.295,0.031,1.117,0.292,0.124,0.174,0.06,0.065,4.28,4.08
5857,Viet Nam,H019804,2009-02-15,2009,2,15,26.0,6.55,23.5,15.0,0.81,0.32,0.302,0.038,1.118,0.285,0.132,0.189,0.058,0.058,4.41,4.81
4782,Thailand,H013101,2009-02-16,2009,2,16,26.0,7.69,18.0,23.07,1.504225352112676,0.5577464788732394,0.4983384080034798,0.0425601023017902,1.8555133079847907,0.2592355848434926,0.3234717666025239,0.0712509144111192,0.013745441562747,0.0491385251550654,8.95,1.241379310344827
4783,Thailand,H013801,2009-02-16,2009,2,16,26.0,7.95,7.0,22.42,1.4830985915492956,0.5661971830985915,0.4646976946498478,0.0420485933503836,1.8555133079847907,0.2257858319604613,0.3059813518543371,0.0931967812728602,0.0351669089332619,0.0339765678842177,7.55,1.241379310344827
4784,Thailand,H050104,2009-02-16,2009,2,16,20.0,8.08,22.0,10.8,0.5915492957746479,0.295774647887324,0.3253588516746412,0.0770639386189258,1.095057034220532,0.0027874794069192,0.0796150225172272,0.0814923189465983,0.0173156861244995,0.0677463818056512,7.9,5.379310344827585
4811,Thailand,H011200,2009-02-17,2009,2,17,21.1,7.69,43.0,27.7,1.753,0.465,0.4,0.05,2.052,0.228,0.519,0.172,0.033,0.021,7.39,0.49
3519,Lao PDR,H100101,2009-02-17,2009,2,17,22.6,8.02,1.0,25.7,1.644,0.532,0.34,0.025,2.325,0.124,0.173,0.058,0.033,0.016,7.08,0.882
3501,Lao PDR,H011901,2009-02-18,2009,2,18,24.3,7.64,36.0,27.3,1.702,0.55,0.385,0.039,2.061,0.193,0.521,0.193,0.019,0.035,7.48,0.49
3524,Lao PDR,H230103,2009-02-18,2009,2,18,25.4,6.85,31.0,10.98,0.73,0.199,0.18,0.022,0.946,0.045,0.108,0.004,0.027,0.022,6.99,0.686
3513,Lao PDR,H013900,2009-02-19,2009,2,19,24.5,7.95,9.0,23.2,1.372,0.52,0.36,0.034,1.747,0.216,0.368,0.092,0.012,0.025,6.95,0.588
3540,Lao PDR,H390105,2009-02-19,2009,2,19,24.9,7.97,16.0,11.18,0.438,0.454,0.22,0.038,1.065,0.024,0.075,0.02,0.11,0.05,6.71,1.764
1627,Cambodia,H450101,2009-02-21,2009,2,21,27.0,7.63,5.0,7.5,0.2212908633696563,0.219279128248114,0.2571,0.0479,0.4852348993288591,0.1624,0.1410369999999999,0.1259269999999999,0.0520890999999999,0.0560974,7.87,1.6307339449541285
1625,Cambodia,H440102,2009-02-22,2009,2,22,26.5,7.95,4.49999999999999,4.29,0.1287510477787091,0.1126571668063704,0.1351,0.0533,0.28,0.1092,0.0657982,0.0640061,0.0018409999999999,0.0224193,7.27,1.3
1626,Cambodia,H440103,2009-02-22,2009,2,22,28.0,7.68,2.999999999999947,4.23,0.1327745180217937,0.1207041072925398,0.1451,0.05325,0.2657718120805369,0.1148,0.0764088,0.0466450999999999,0.0001,0.0202109,6.97,1.3933486238532105
1628,Cambodia,H430102,2009-02-23,2009,2,23,30.5,7.91,11.999999999999927,6.95,0.3138306789606035,0.2112321877619447,0.1771,0.0287,0.5476510067114093,0.1092,0.0966654,0.0142378999999999,0.0127644999999999,0.0307008,7.49,0.6935779816513749
1613,Cambodia,H019802,2009-02-23,2009,2,23,30.5,7.84,3.999999999999976,20.7,1.1124895222129083,0.4345347862531432,0.511,0.03865,1.3651006711409397,0.3163999999999999,0.3185234,0.0061361,0.0302420999999999,0.0224193,7.69,0.9082568807339438
1612,Cambodia,H014901,2009-02-23,2009,2,23,30.1,7.72,9.00000000000005,21.3,1.102430846605197,0.4144174350377196,0.591,0.0403,1.34496644295302,0.3248,0.367718,0.0072935,0.0389808999999999,0.0445033,7.83,0.5779816513761473
1611,Cambodia,H014501,2009-02-23,2009,2,23,29.0,7.87,8.500000000000036,24.7,1.3438390611902764,0.4184409052808047,0.593,0.03915,1.6489932885906042,0.3542,0.4487444,0.0078722,0.0105798,0.0422949,8.42,0.8256880733944942
1622,Cambodia,H033401,2009-02-24,2009,2,24,31.0,7.06,21.999999999999936,11.35,0.3882648784576697,0.20720871751886,0.431,0.03735,0.6966442953020134,0.3388,0.0378248,0.0865754,0.0477196999999999,0.1681737,4.66,4.211009174311927
1617,Cambodia,H020108,2009-02-24,2009,2,24,30.4,7.71,44.0,12.11,0.3339480301760268,0.2615255658005029,0.601,0.0559,0.6624161073825503,0.4038999999999999,0.169975,0.0101869999999999,0.1635088,0.1085469,6.73,4.283256880733945
1616,Cambodia,H019807,2009-02-24,2009,2,24,28.7,7.5,16.5,16.7,0.8851634534786254,0.3701592623637887,0.355,0.04045,1.0751677852348995,0.2716,0.2963376,0.0420155,0.0001,0.0494722,7.61,1.930045871559632
1615,Cambodia,H019806,2009-02-24,2009,2,24,28.6,7.75,11.0,16.84,0.8690695725062867,0.3138306789606035,0.3695,0.0421,1.1013422818791947,0.2659999999999999,0.2992314,0.0379646,0.0236879999999999,0.0389823,6.37,2.177752293577981
1623,Cambodia,H033402,2009-02-24,2009,2,24,30.9,7.28,13.5,9.13,0.3943000838222967,0.2373847443419949,0.2775999999999999,0.0508,0.5818791946308725,0.2471,0.0571167999999999,0.1004642,0.0215032999999999,0.0665873,7.35,3.98394495412844
1624,Cambodia,H033403,2009-02-24,2009,2,24,31.0,7.64,12.49999999999994,10.3,0.4184409052808047,0.2393964794635371,0.3231,0.05005,0.6322147651006711,0.2632,0.0715858,0.0790523,0.0001,0.0610663,8.57,4.087155963302751
1614,Cambodia,H019801,2009-02-25,2009,2,25,31.0,7.94,13.0,21.5,1.1346186085498742,0.4566638725901091,0.57,0.04005,1.3932885906040269,0.3205999999999999,0.3233464,0.0055574,0.0433502999999999,0.0406386,7.37,0.8050458715596323
1618,Cambodia,H020106,2009-02-25,2009,2,25,30.7,7.34,26.5,8.92,0.3118189438390611,0.2152556580050293,0.2925,0.043,0.5617449664429531,0.2184,0.0609751999999999,0.039122,0.1482158999999999,0.0859108,6.12,3.9426605504587138
1619,Cambodia,H020103,2009-02-25,2009,2,25,30.5,7.49,29.0,8.4,0.3138306789606035,0.1911148365465212,0.3035,0.04325,0.5194630872483222,0.2155999999999999,0.0561521999999999,0.0437515999999999,0.0001,0.081494,5.27,3.612385321100917
1620,Cambodia,H020102,2009-02-25,2009,2,25,30.8,7.5,41.333333333333314,8.11,0.3017602682313495,0.2051969823973177,0.317,0.0434,0.4953020134228188,0.2226,0.0812317999999999,0.0559043,0.0520890999999999,0.0980569999999999,5.16,3.684633027522934
1621,Cambodia,H020101,2009-02-25,2009,2,25,31.1,6.45,34.0,8.61,0.3218776194467728,0.1730092204526404,0.2481,0.04565,0.5053691275167786,0.2219,0.0368602,0.0703718,0.0783055,0.1129637,5.14,3.736238532110091
5861,Viet Nam,H019803,2009-03-15,2009,3,15,25.8,6.92,29.0,15.9,0.84,0.36,0.325,0.029,1.126,0.311,0.148,0.04,0.0,0.022,2.93,2.99
5869,Viet Nam,H451303,2009-03-15,2009,3,15,26.0,6.48,41.0,8.3,0.27,0.25,0.256,0.037,0.723,0.069,0.032,0.22,0.003,0.058,5.43,1.86
5868,Viet Nam,H440202,2009-03-15,2009,3,15,28.0,6.75,23.0,4.1,0.18,0.05,0.176,0.016,0.325,0.092,0.021,0.172,0.0,0.12,4.08,1.4
5867,Viet Nam,H019804,2009-03-15,2009,3,15,28.0,6.5,36.5,16.3,0.9,0.35,0.41,0.034,1.15,0.297,0.172,0.243,0.0,0.074,2.89,5.74
5866,Viet Nam,H039803,2009-03-15,2009,3,15,27.1,6.52,38.5,16.8,0.86,0.39,0.395,0.033,1.287,0.27,0.119,0.041,0.0,0.061,1.9,5.05
5865,Viet Nam,H988316,2009-03-15,2009,3,15,26.1,6.66,43.5,15.0,0.76,0.36,0.415,0.038,1.013,0.368,0.134,0.0661,0.0,0.116,3.1,4.28
5864,Viet Nam,H988115,2009-03-15,2009,3,15,27.7,6.58,36.0,16.4,0.84,0.29,0.501,0.032,1.286,0.226,0.179,0.046,0.018,0.084,4.56,3.6
5863,Viet Nam,H988114,2009-03-15,2009,3,15,27.8,6.52,31.0,16.4,0.85,0.37,0.412,0.026,1.312,0.204,0.141,0.145,0.0,0.058,3.47,4.65
5862,Viet Nam,H039801,2009-03-15,2009,3,15,26.7,6.65,186.0,12.3,0.48,0.29,0.474,0.028,0.784,0.358,0.059,0.071,0.005,0.246,2.14,9.25
5874,Viet Nam,H988316,2009-04-15,2009,4,15,26.7,6.58,51.0,15.1,0.46,0.39,0.715,0.031,0.875,0.365,0.245,0.617,0.0,0.126,3.77,5.9
5875,Viet Nam,H039803,2009-04-15,2009,4,15,27.6,6.95,46.0,17.7,0.85,0.4,0.482,0.038,1.327,0.267,0.176,0.014,0.0,0.159,4.25,3.8
5872,Viet Nam,H988114,2009-04-15,2009,4,15,26.9,6.72,47.0,17.7,0.82,0.46,0.352,0.034,1.287,0.196,0.181,0.297,0.0,0.162,3.25,3.76
5876,Viet Nam,H019804,2009-04-15,2009,4,15,27.9,6.4,48.5,17.7,0.82,0.5,0.412,0.034,1.232,0.292,0.193,0.017,0.0,0.18,3.9,4.85
5877,Viet Nam,H440202,2009-04-15,2009,4,15,27.6,6.58,35.0,4.5,0.11,0.16,0.182,0.012,0.345,0.096,0.031,0.011,0.0,0.111,4.65,0.48
5871,Viet Nam,H039801,2009-04-15,2009,4,15,27.1,6.88,203.0,13.5,0.44,0.31,0.581,0.029,0.883,0.26,0.119,0.515,0.0,0.246,2.17,7.15
5870,Viet Nam,H019803,2009-04-15,2009,4,15,25.7,7.2,53.0,17.2,0.85,0.45,0.365,0.035,1.286,0.319,0.181,0.104,0.0,0.071,2.63,2.42
5873,Viet Nam,H988115,2009-04-15,2009,4,15,25.3,6.39,50.5,17.4,0.86,0.41,0.412,0.03,1.337,0.221,0.183,0.02,0.0,0.155,3.28,4.4
5878,Viet Nam,H451303,2009-04-15,2009,4,15,25.7,6.48,68.0,8.4,0.25,0.22,0.321,0.019,0.605,0.185,0.037,0.068,0.0,0.042,4.35,3.16
3530,Lao PDR,H320101,2009-04-16,2009,4,16,26.0,7.71,11.0,21.66,1.513,0.603,0.11,0.014,2.066,0.058,0.055,0.069,0.015,0.022,6.87,1.338
3535,Lao PDR,H350101,2009-04-17,2009,4,17,31.0,6.86,12.0,19.26,0.984,0.482,0.45,0.041,1.114,0.57,0.133,0.003,0.013,0.019,6.95,3.7
3508,Lao PDR,H013401,2009-04-18,2009,4,18,32.0,7.52,78.0,26.7,1.496,0.554,0.46,0.044,1.793,0.349,0.431,0.253,0.025,0.032,6.42,4.9
4786,Thailand,H013801,2009-04-20,2009,4,20,30.5,7.51,1.3333333333333253,24.89,1.5157894736842104,0.7127819548872182,0.5119356241844281,0.0503759590792838,1.8343949044585983,0.2920366713681241,0.4195148865292525,0.0704815073272854,0.0301500773941718,0.0247928079786486,6.65,0.8275862068965507
4812,Thailand,H011200,2009-04-20,2009,4,20,26.6,7.78,68.0,29.6,1.586,0.7,0.49,0.055,1.956,0.331,0.581,0.426,0.021,0.036,7.36,4.1
3520,Lao PDR,H100101,2009-04-20,2009,4,20,27.8,7.3,23.0,21.77,1.41,0.463,0.31,0.032,1.863,0.128,0.187,0.357,0.016,0.041,6.68,3.1
4788,Thailand,H310102,2009-04-20,2009,4,20,32.0,7.65,2.66666666666672,16.9,0.4781954887218045,0.2481203007518797,0.8753762505437147,0.0624936061381074,0.6496815286624203,0.8027162790697674,0.1649086143590163,0.0202372644801116,0.0829127128339726,0.0212810788032026,6.75,2.89655172413793
4785,Thailand,H013101,2009-04-20,2009,4,20,31.0,7.43,24.49999999999994,24.9,1.533834586466165,0.7127819548872182,0.5121313614615051,0.0549744245524296,1.872611464968153,0.2820846262341325,0.3971663543618571,0.3161200279134682,0.0282656975570361,0.0479702205365922,6.65,1.6551724137931032
4787,Thailand,H050104,2009-04-20,2009,4,20,27.2,7.68,19.99999999999995,11.86,0.5954887218045113,0.4015037593984962,0.2964984775989561,0.0946317135549872,1.2229299363057324,0.0393488372093023,0.0880485522093862,0.162595952547104,0.0235547479641967,0.0901109706419441,7.0,2.482758620689656
3502,Lao PDR,H011901,2009-04-21,2009,4,21,29.3,7.75,64.0,26.7,1.739,0.476,0.45,0.061,1.841,0.263,0.532,0.501,0.034,0.046,6.68,4.8
3525,Lao PDR,H230103,2009-04-21,2009,4,21,29.0,7.61,14.0,12.27,0.804,0.16,0.16,0.012,0.938,0.069,0.135,0.008,0.013,0.019,6.41,1.035
3541,Lao PDR,H390105,2009-04-22,2009,4,22,25.0,7.31,18.0,11.9,0.686,0.321,0.226,0.039,1.108,0.022,0.092,0.132,0.03,0.036,7.24,3.16
3514,Lao PDR,H013900,2009-04-22,2009,4,22,24.8,7.32,11.0,23.5,1.581,0.275,0.43,0.031,1.563,0.309,0.535,0.046,0.028,0.024,7.07,1.7
5885,Viet Nam,H451303,2009-05-15,2009,5,15,26.4,6.69,247.0,7.7,0.2,0.25,0.321,0.02,0.525,0.177,0.03,0.67,0.002,0.392,5.24,4.33
5879,Viet Nam,H019803,2009-05-15,2009,5,15,26.0,7.75,31.0,19.3,0.96,0.51,0.401,0.035,1.375,0.316,0.286,0.06,0.04,0.055,6.0,3.76
5884,Viet Nam,H440202,2009-05-15,2009,5,15,25.4,6.78,24.0,4.4,0.14,0.14,0.113,0.015,0.285,0.079,0.023,0.178,0.015,0.048,5.97,2.8
5883,Viet Nam,H019804,2009-05-15,2009,5,15,25.0,6.7,58.5,17.5,0.78,0.5,0.472,0.035,1.312,0.262,0.205,0.01,0.167,0.183,6.28,4.04
5882,Viet Nam,H039803,2009-05-15,2009,5,15,27.6,6.82,56.5,17.7,0.82,0.57,0.324,0.034,1.033,0.439,0.205,0.672,0.0,0.216,5.62,3.64
5881,Viet Nam,H988115,2009-05-15,2009,5,15,25.7,6.75,59.5,17.7,0.8,0.47,0.412,0.034,1.142,0.346,0.238,0.491,0.003,0.179,6.37,3.51
5880,Viet Nam,H988114,2009-05-15,2009,5,15,28.0,6.89,52.5,17.6,0.8,0.42,0.524,0.034,1.262,0.211,0.22,0.499,0.056,0.19,6.01,3.43
5891,Viet Nam,H451303,2009-06-15,2009,6,15,26.4,6.95,95.0,7.6,0.21,0.26,0.263,0.058,0.624,0.098,0.059,0.279,0.172,0.137,5.88,5.74
5887,Viet Nam,H039801,2009-06-15,2009,6,15,27.1,7.45,67.0,16.5,0.73,0.47,0.388,0.056,1.013,0.333,0.23,0.452,0.038,0.14,5.34,4.04
5890,Viet Nam,H440202,2009-06-15,2009,6,15,25.0,6.92,28.5,4.2,0.105,0.145,0.145,0.05,0.321,0.059,0.032,0.19,0.006,0.078,5.35,3.15
5886,Viet Nam,H019803,2009-06-15,2009,6,15,26.5,7.45,122.0,15.1,0.67,0.4,0.465,0.05,1.01,0.243,0.238,0.294,0.031,0.169,5.59,4.77
4790,Thailand,H013801,2009-06-15,2009,6,15,30.0,7.83,80.0,18.28,1.0150128158183818,0.5844013181984622,0.2894171378860374,0.0367595907928388,1.322418136020151,0.2596768982229402,0.2926280929023561,0.2913213448006255,0.0145612314641466,0.0732899022801303,6.6,2.89655172413793
4789,Thailand,H013101,2009-06-15,2009,6,15,29.0,7.87,97.0,17.25,0.861222995239839,0.6327352618088613,0.2150891692040017,0.0304040920716112,1.3602015113350123,0.2378093699515348,0.2576472634059825,0.3851446442533229,0.0145612314641466,0.0888979370249728,6.65,3.724137931034482
5889,Viet Nam,H019805,2009-06-15,2009,6,15,25.6,7.14,56.0,22.4,0.82,0.6,0.698,0.075,1.084,0.404,0.557,0.688,0.016,0.166,6.4,4.32
4791,Thailand,H050104,2009-06-15,2009,6,15,28.2,7.89,119.0,13.37,0.5272793848407178,0.6283412669351887,0.2151326663766855,0.0802097186700767,1.246851385390428,0.051935379644588,0.1375688390770846,0.2084440969507427,0.026002199043119,0.1594733984799131,7.15,7.862068965517241
5888,Viet Nam,H988316,2009-06-15,2009,6,15,27.0,7.28,78.0,16.2,0.7,0.37,0.465,0.058,1.099,0.228,0.269,0.429,0.083,0.169,6.23,4.2
4792,Thailand,H310102,2009-06-15,2009,6,15,30.0,7.88,11.0,9.09,0.277240518962076,0.3690955693885023,0.3138538494997825,0.0428158567774936,0.5667506297229219,0.3498804523424879,0.0313720591297106,0.0333072713057075,0.0166414073875962,0.0285016286644951,6.3,2.89655172413793
3503,Lao PDR,H011901,2009-06-16,2009,6,16,29.8,7.12,119.0,23.3,1.362,0.521,0.389,0.029,1.658,0.276,0.484,0.318,0.019,0.076,6.84,1.6
3526,Lao PDR,H230103,2009-06-16,2009,6,16,30.1,6.84,11.0,11.6,0.817,0.16,0.12,0.015,0.981,0.101,0.101,0.078,0.049,0.018,5.6,0.98
4813,Thailand,H011200,2009-06-19,2009,6,19,24.6,7.73,182.0,24.6,1.44,0.506,0.364,0.04,1.675,0.292,0.497,0.289,0.023,0.059,6.55,1.5
3509,Lao PDR,H013401,2009-06-19,2009,6,19,30.0,7.55,115.0,18.9,1.237,0.339,0.32,0.04,1.538,0.169,0.213,0.292,0.082,0.054,7.2,2.4
3531,Lao PDR,H320101,2009-06-20,2009,6,20,26.0,7.5,135.0,16.4,1.309,0.253,0.04,0.026,1.561,0.034,0.176,0.24,0.171,0.063,6.5,3.35
3536,Lao PDR,H350101,2009-06-20,2009,6,20,31.0,7.5,169.0,8.1,0.381,0.178,0.198,0.052,0.345,0.108,0.322,0.168,0.084,0.045,7.95,3.9
3515,Lao PDR,H013900,2009-06-21,2009,6,21,24.0,7.63,115.0,18.6,0.992,0.331,0.36,0.04,1.186,0.328,0.324,0.333,0.071,0.066,6.4,2.1
3542,Lao PDR,H390105,2009-06-21,2009,6,21,24.3,7.64,66.0,6.3,0.27,0.232,0.086,0.052,0.334,0.034,0.252,0.159,0.132,0.085,5.96,4.4
3521,Lao PDR,H100101,2009-06-27,2009,6,27,27.0,7.8,103.0,19.1,1.226,0.399,0.13,0.03,1.672,0.123,0.151,0.197,0.013,0.065,6.6,1.5
3510,Lao PDR,H013401,2009-08-15,2009,8,15,26.0,7.38,232.0,13.94,1.084,0.19,0.081,0.044,1.309,0.041,0.095,0.187,0.034,0.036,7.74,1.28
3537,Lao PDR,H350101,2009-08-15,2009,8,15,27.0,7.21,326.0,6.31,0.314,0.134,0.123,0.042,0.396,0.045,0.133,0.129,0.095,0.053,8.09,3.06
3532,Lao PDR,H320101,2009-08-15,2009,8,15,26.0,7.13,84.0,15.47,1.313,0.19,0.037,0.039,1.534,0.036,0.078,0.181,0.083,0.024,7.81,1.24
4793,Thailand,H010501,2009-08-17,2009,8,17,22.4,6.79,201.0,17.41,1.1343065693430656,0.4773722627737227,0.391935624184428,0.0561662404092071,1.4104193138500636,0.1164096,0.3565313345825525,0.279172588030949,0.0329777042898573,0.1627924138439967,7.38,6.206896551724139
4794,Thailand,H013101,2009-08-17,2009,8,17,29.5,7.16,232.0,13.73,0.8846715328467153,0.3416058394160582,0.3424793388429752,0.04669820971867,1.1054637865311308,0.2084544,0.1711713350676862,0.2318016737723038,0.0384892983215883,0.1517231200649398,5.9,7.862068965517241
4797,Thailand,H290103,2009-08-17,2009,8,17,30.0,7.48,8.0,9.8,0.1751824817518248,0.1094890510948905,0.6788647237929536,0.0535831202046035,0.3049555273189326,0.6009983999999999,0.0579734753157917,0.042318016737723,0.0283847092634148,0.0321747472511253,3.85,4.137931034482759
4796,Thailand,H050104,2009-08-17,2009,8,17,24.6,7.23,165.0,10.69,0.437956204379562,0.248868778280543,0.5111874728142671,0.0851048593350383,0.914866581956798,0.0622656,0.1877576514678326,0.2325,0.059617075443224,0.193786436425356,8.05,7.862068965517241
4798,Thailand,H310102,2009-08-17,2009,8,17,31.0,7.48,18.0,6.16,0.2102189781021897,0.1664233576642335,0.2900043497172684,0.0428900255754475,0.3811944091486658,0.2246976,0.0365467375770402,0.0296857729354176,0.0329777042898573,0.0358645118441443,6.7,3.724137931034482
3543,Lao PDR,H390105,2009-08-17,2009,8,17,24.8,7.21,119.0,6.55,0.325,0.186,0.124,0.028,0.582,0.02,0.109,0.107,0.227,0.204,6.73,2.3
4800,Thailand,H380128,2009-08-17,2009,8,17,30.0,7.43,24.0,9.63,0.2408759124087591,0.1445255474452554,0.5955502392344498,0.047851662404092,0.4193138500635324,0.60912,0.0895071648181052,0.1907468814148113,0.0412450953374539,0.0528374289720315,5.65,5.793103448275862
4799,Thailand,H380104,2009-08-17,2009,8,17,29.5,7.37,15.0,12.69,0.3372262773722627,0.1576642335766422,0.8099347542409744,0.0602966751918158,0.6099110546378653,0.6280704,0.1226579666025886,0.216011369019422,0.0770704565437056,0.0609549110766733,5.6,6.206896551724139
3516,Lao PDR,H013900,2009-08-17,2009,8,17,24.5,7.2,330.0,12.65,0.793,0.212,0.198,0.066,0.988,0.077,0.17,0.286,0.139,0.057,6.85,1.54
4795,Thailand,H013801,2009-08-17,2009,8,17,28.0,7.19,305.0,12.84,0.9635036496350364,0.3065693430656933,0.246589821661592,0.0360102301790281,1.181702668360864,0.1028736,0.1416590359180851,0.2412758566240328,0.0219545162263952,0.2572503874252822,6.33,8.275862068965518
3504,Lao PDR,H011901,2009-08-18,2009,8,18,29.1,7.25,349.0,19.81,1.328,0.439,0.276,0.076,1.511,0.112,0.348,0.302,0.082,0.07,6.67,0.9
3527,Lao PDR,H230103,2009-08-18,2009,8,18,28.0,6.74,150.0,8.65,0.554,0.198,0.108,0.032,0.76,0.029,0.044,0.132,0.042,0.045,5.74,0.74
3546,Lao PDR,H910108,2009-08-18,2009,8,18,30.2,6.25,18.0,11.04,0.241,0.176,0.6,0.056,0.304,0.538,0.16,0.222,0.097,0.059,3.52,3.48
4801,Thailand,H010501,2009-10-12,2009,10,12,25.8,7.38,105.0,21.73,1.4828571428571429,0.6171428571428573,0.2376468029578077,0.0374987212276214,1.6966580976863754,0.1319186440677966,0.4729780991705475,0.288316897877319,0.0220476950137031,0.1352291635153532,7.4,3.6818181818181808
4806,Thailand,H380128,2009-10-12,2009,10,12,30.5,7.56,23.0,8.87,0.2442857142857142,0.1339531057178116,0.5302740321879078,0.0435089514066496,0.3856041131105398,0.4158305084745763,0.11269301667046,0.0359351495905064,0.0401821627738918,0.0444713356527,4.6,4.5
4805,Thailand,H380104,2009-10-12,2009,10,12,28.5,7.63,8.0,10.52,0.3257142857142857,0.1457142857142857,0.6299869508481949,0.0472890025575447,0.4627249357326478,0.5104677966101695,0.1203144318771926,0.0442921611231823,0.045908836803425,0.0452276508848888,3.65,5.318181818181817
4802,Thailand,H013101,2009-10-12,2009,10,12,30.0,7.57,55.0,17.64,1.0414285714285714,0.4285714285714285,0.3804654197477164,0.0432173913043478,1.311053984575835,0.2867796610169492,0.2543820539228983,0.2532174494400802,0.0287288147148252,0.0837997277265164,6.6,2.863636363636364
4804,Thailand,H310102,2009-10-12,2009,10,12,29.5,7.67,99.0,8.73,0.3257142857142857,0.1457142857142857,0.4468725532840366,0.0423682864450127,0.5012853470437018,0.355606779661017,0.0759716524925665,0.0225639311382249,0.038273271430714,0.0149750415973377,6.35,3.272727272727271
4803,Thailand,H013801,2009-10-12,2009,10,12,28.5,7.56,149.0,16.15,1.1314285714285717,0.3428571428571427,0.2928055676381035,0.0386112531969309,1.3496143958868894,0.1233152542372881,0.2363677997978939,0.2582316563596857,0.0220476950137031,0.1163212827106337,6.75,3.272727272727271
3511,Lao PDR,H013401,2009-10-17,2009,10,17,27.0,7.47,23.0,21.13,1.542,0.472,0.219,0.03,1.808,0.127,0.233,0.288,0.056,0.058,5.85,0.9
3538,Lao PDR,H350101,2009-10-17,2009,10,17,26.0,6.71,113.0,10.0,0.522,0.249,0.198,0.027,0.818,0.035,0.11,0.143,0.064,0.023,8.18,2.1
3544,Lao PDR,H390105,2009-10-19,2009,10,19,24.2,7.08,39.0,9.46,0.42,0.36,0.173,0.026,0.838,0.03,0.123,0.181,0.172,0.038,5.86,1.88
3517,Lao PDR,H013900,2009-10-19,2009,10,19,24.0,7.38,85.0,15.9,0.835,0.339,0.335,0.034,1.091,0.195,0.306,0.219,0.049,0.037,5.86,2.828
1643,Cambodia,H020107,2009-10-20,2009,10,20,29.0,6.43,12.5,7.57,0.2964941569282136,0.1923205342237062,0.1774,0.04165,0.5011647254575707,0.0965599999999999,0.0697329,0.0,0.0169162,0.0736233,1.0991656032479324,4.968280467445744
1644,Cambodia,H450101,2009-10-20,2009,10,20,25.5,6.75,93.0,6.84,0.2123539232053422,0.2043405676126877,0.1909,0.0496,0.4432612312811979,0.07668,0.1374766,0.2266804,0.0093856,0.1345677,7.154609573305594,2.604340567612686
3528,Lao PDR,H230103,2009-10-20,2009,10,20,28.2,6.68,18.0,14.18,0.786,0.323,0.223,0.016,1.212,0.082,0.087,0.095,0.027,0.014,5.96,0.72
