MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H320101,2015-10-21,2015,10,21,26.3,6.89,17.66,13.1,0.5236907730673317,0.2279835390946502,0.0191304347826086,0.0148717948717948,0.738,0.0270422535211267,0.0416666666666666,0.16,0.01,0.02,7.61,1.76
Lao PDR,H320101,2008-07-16,2008,7,16,26.0,7.11,80.0,22.5,1.77,0.558,0.072,0.02,2.058,0.037,0.161,0.233,0.043,0.016,6.39,1.276
Lao PDR,H320101,1996-07-12,1996,7,12,30.0,7.77,74.0,24.2,1.78,0.605,0.1,0.026,1.992,0.033,0.284,0.024,0.039,0.013,7.4,1.7
Lao PDR,H320101,2009-08-15,2009,8,15,26.0,7.13,84.0,15.47,1.313,0.19,0.037,0.039,1.534,0.036,0.078,0.181,0.083,0.024,7.81,1.24
Lao PDR,H320101,2005-06-16,2005,6,16,28.5,7.25,75.0,17.8,1.208,0.516,0.145,0.036,1.374,0.111,0.404,0.247,0.025,0.033,6.9,1.078
Lao PDR,H320101,1988-05-13,1988,5,13,28.0,7.55,84.0,23.4,1.792,0.615,0.06,0.042,2.431,0.033,0.12,0.274,0.032,0.034,6.84,2.2
Lao PDR,H320101,2004-09-15,2004,9,15,26.0,7.17,75.0,16.5,1.34,0.268,0.017,0.003,1.41,0.009,0.219,0.292,0.03,0.005,6.95,2.031
Lao PDR,H320101,2006-08-17,2006,8,17,27.0,7.58,142.0,16.44,1.335,0.21,0.071,0.013,1.376,0.089,0.134,0.285,0.008,0.017,7.5,2.58
Lao PDR,H320101,2003-08-14,2003,8,14,26.0,7.2,72.0,21.8,1.778,0.323,0.031,0.034,1.929,0.01,0.153,0.215,0.025,0.029,6.65,2.2
Lao PDR,H320101,1994-09-17,1994,9,17,26.2,7.66,110.0,20.8,1.533,0.316,0.078,0.011,2.007,0.03,0.102,0.208,0.035,0.119,7.99,1.4
Lao PDR,H320101,2015-09-22,2015,9,22,25.0,7.37,92.0,18.6,1.985,0.2,0.0043478260869565,0.0064102564102564,2.39,0.0070422535211267,0.0416666666666666,0.19,0.04,0.15,6.92,2.2
Lao PDR,H320101,2001-06-13,2001,6,13,28.0,7.84,58.0,29.2,1.746,0.59,0.029,0.008,2.171,0.03,0.133,0.298,0.019,0.012,6.71,0.5
Lao PDR,H320101,2004-06-18,2004,6,18,30.2,7.76,45.0,20.5,1.461,0.429,0.021,0.003,1.768,0.056,0.177,0.163,0.059,0.076,6.7,3.918
Lao PDR,H320101,2006-05-17,2006,5,17,30.1,7.54,29.0,16.1,1.105,0.451,0.089,0.021,1.402,0.075,0.143,0.33,0.025,0.019,7.8,1.211
Lao PDR,H320101,2003-09-18,2003,9,18,27.0,7.14,70.0,20.23,1.715,0.253,0.029,0.026,1.897,0.072,0.157,0.106,0.099,0.02,6.82,4.3
Lao PDR,H320101,1986-08-19,1986,8,19,27.0,7.54,52.0,20.3,1.851,0.181,0.057,0.012,2.015,0.028,0.108,0.054,0.021,0.022,6.29,1.6
Lao PDR,H320101,2013-10-29,2013,10,29,22.8,7.66,89.5,15.76,1.301995012468828,0.2567901234567901,0.0369565217391304,0.017391304347826,1.57,0.032112676056338,0.1039583333333333,0.22,0.01,0.12,8.41,2.26
Lao PDR,H320101,1995-06-15,1995,6,15,26.0,8.15,25.0,19.4,1.574,0.308,0.053,0.017,1.675,0.032,0.131,0.54,0.016,0.031,8.95,4.1
